TABELA DE SIMBOLOS - "gram00.grm-NFA.lda"

+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_IDEN                        | itens_10001             | (  1,  8) (  4,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   2 | tk_CADEIA                      | "a_state_10001_item_.*" | (  1, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   3 | tk_CADEIA                      | "state_10001"           | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   4 | tk_DECIMAL                     | 0.500000                | (  2, 27) (  3, 35) (  4, 31) (  6, 36) (  6, 54) (  7, 36) (  7, 54) (  9, 23) ( 12, 27) ( 13, 35) ( 14, 31) ( 16, 23) ( 19, 27) ( 20, 35) ( 21, 31) ( 23, 23) ( 26, 27) ( 27, 35) ( 28, 31) ( 30, 23) ( 33, 27) ( 34, 35) ( 35, 31) ( 37, 36) ( 37, 54) ( 38, 36) ( 38, 54) ( 40, 24) ( 43, 27) ( 44, 35) ( 45, 31) ( 47, 36) ( 47, 54) ( 48, 36) ( 48, 54) ( 50, 23) ( 53, 27) ( 54, 35) ( 55, 31) ( 57, 23) ( 59, 23) ( 61, 23) ( 63, 36) ( 63, 54) ( 64, 36) ( 64, 54) ( 66, 23) ( 69, 27) ( 70, 35) ( 71, 31) ( 73, 24) ( 75, 24) ( 77, 24) ( 79, 36) ( 79, 54) ( 80, 36) ( 80, 54) ( 82, 24) ( 85, 27) ( 86, 35) ( 87, 31) ( 89, 36) ( 89, 54) ( 90, 36) ( 90, 54) ( 92, 24) ( 95, 27) ( 96, 35) ( 97, 31) ( 99, 36) ( 99, 54) (100, 36) (100, 54) (102, 24) (105, 27) (106, 35) (107, 31) (109, 36) (109, 54) (110, 36) (110, 54) (112, 24) (115, 27) (116, 35) (117, 31) (119, 24) (121, 24) (123, 24) (125, 36) (125, 54) (126, 36) (126, 54) (128, 24) (131, 27) (132, 35) (133, 31) (135, 24) (137, 24) (139, 24) |
|   5 | tk_CADEIA                      | "a_state_10001_title"   | (  3,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   6 | tk_CADEIA                      | "a_state_10001_item_1"  | (  6,  8) (  7,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   7 | tk_CADEIA                      | "trans_1"               | (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   8 | tk_IDEN                        | itens_10005             | ( 11,  8) ( 14,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   9 | tk_CADEIA                      | "a_state_10005_item_.*" | ( 11, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
