TABELA DE SIMBOLOS - "gram02.grm-NFA.lda"

+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_IDEN                        | itens_10001             | (  1,  8) (  4,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   2 | tk_CADEIA                      | "a_state_10001_item_.*" | (  1, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   3 | tk_CADEIA                      | "state_10001"           | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   4 | tk_DECIMAL                     | 0.500000                | (  2, 27) (  3, 35) (  4, 31) (  6, 36) (  6, 54) (  7, 36) (  7, 54) (  9, 23) ( 12, 27) ( 13, 35) ( 14, 31) ( 16, 23) ( 19, 27) ( 20, 35) ( 21, 31) ( 23, 23) ( 26, 27) ( 27, 35) ( 28, 31) ( 30, 36) ( 30, 54) ( 31, 36) ( 31, 54) ( 33, 24) ( 36, 27) ( 37, 35) ( 38, 31) ( 40, 36) ( 40, 54) ( 41, 36) ( 41, 54) ( 43, 23) ( 46, 27) ( 47, 35) ( 48, 31) ( 50, 23) ( 52, 23) ( 54, 36) ( 54, 54) ( 55, 36) ( 55, 54) ( 57, 23) ( 60, 27) ( 61, 35) ( 62, 31) ( 64, 23) ( 67, 27) ( 68, 35) ( 69, 31) ( 71, 23) ( 74, 27) ( 75, 35) ( 76, 31) ( 78, 36) ( 78, 54) ( 79, 36) ( 79, 54) ( 81, 24) ( 84, 27) ( 85, 35) ( 86, 31) ( 88, 36) ( 88, 54) ( 89, 36) ( 89, 54) ( 91, 24) ( 94, 27) ( 95, 35) ( 96, 31) ( 98, 36) ( 98, 54) ( 99, 36) ( 99, 54) (101, 24) (104, 27) (105, 35) (106, 31) (108, 36) (108, 54) (109, 36) (109, 54) (111, 24) (114, 27) (115, 35) (116, 31) (118, 24) (120, 24) (122, 36) (122, 54) (123, 36) (123, 54) (125, 24) (128, 27) (129, 35) (130, 31) (132, 24) (134, 24) (136, 36) (136, 54) (137, 36) (137, 54) (139, 24) (142, 27) (143, 35) (144, 31) |
|   5 | tk_CADEIA                      | "a_state_10001_title"   | (  3,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   6 | tk_CADEIA                      | "a_state_10001_item_1"  | (  6,  8) (  7,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   7 | tk_CADEIA                      | "trans_1"               | (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   8 | tk_IDEN                        | itens_10006             | ( 11,  8) ( 14,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   9 | tk_CADEIA                      | "a_state_10006_item_.*" | ( 11, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
