TABELA DE SIMBOLOS - "gram03.grm-DFA.lda"

+-----+--------------------------------+-----------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
+-----+--------------------------------+-----------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_CADEIA                      | "state_1"                               | (  1,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   2 | tk_DECIMAL                     | 0.500000                                | (  1, 23) (  2, 31) (  3, 32) (  4, 32) (  4, 50) (  5, 32) (  5, 50) (  6, 32) (  7, 32) (  8, 32) (  8, 50) (  9, 32) (  9, 50) ( 10, 32) ( 11, 32) ( 12, 32) ( 12, 50) ( 13, 32) ( 13, 50) ( 14, 32) ( 15, 32) ( 18, 30) ( 18, 48) ( 19, 30) ( 19, 48) ( 21, 23) ( 23, 23) ( 24, 31) ( 25, 32) ( 26, 32) ( 29, 30) ( 29, 48) ( 30, 30) ( 30, 48) ( 32, 23) ( 34, 23) ( 35, 31) ( 36, 32) ( 37, 32) ( 40, 30) ( 40, 48) ( 41, 30) ( 41, 48) ( 43, 23) ( 45, 23) ( 46, 31) ( 47, 32) ( 50, 30) ( 50, 48) ( 51, 30) ( 51, 48) ( 53, 23) ( 55, 23) ( 56, 31) ( 57, 32) ( 58, 32) ( 58, 50) ( 59, 32) ( 59, 50) ( 60, 32) ( 61, 32) ( 62, 32) ( 62, 50) ( 63, 32) ( 63, 50) ( 64, 32) ( 65, 32) ( 66, 32) ( 66, 50) ( 67, 32) ( 67, 50) ( 68, 32) ( 69, 32) ( 72, 30) ( 72, 48) ( 73, 30) ( 73, 48) ( 75, 23) ( 77, 23) ( 78, 31) ( 79, 32) ( 82, 30) ( 82, 48) ( 83, 30) ( 83, 48) ( 85, 23) ( 87, 23) ( 88, 31) ( 89, 32) ( 92, 30) ( 92, 48) ( 93, 30) ( 93, 48) ( 95, 23) ( 97, 23) ( 98, 31) ( 99, 32) (100, 32) (100, 50) (101, 32) (101, 50) (102, 32) (103, 32) (104, 32) (104, 50) (105, 32) (105, 50) (106, 32) (107, 32) (110, 30) (110, 48) (111, 30) (111, 48) (113, 23) (115, 23) (116, 31) (117, 32) (118, 32) (118, 50) (119, 32) (119, 50) (120, 32) (121, 32) (124, 30) (124, 48) (125, 30) (125, 48) (127, 23) (129, 24) (130, 32) (131, 33) (132, 33) (135, 31) (135, 49) (136, 31) (136, 49) (138, 24) (141, 31) (141, 49) (142, 31) (142, 49) (144, 24) (147, 31) (147, 49) (148, 31) (148, 49) (150, 24) (153, 31) (153, 49) (154, 31) (154, 49) (156, 24) (159, 31) (159, 49) (160, 31) (160, 49) (162, 24) (164, 24) (165, 32) (166, 33) (167, 33) (170, 31) (170, 49) (171, 31) (171, 49) (173, 24) (176, 31) (176, 49) (177, 31) (177, 49) (179, 24) (182, 31) (182, 49) (183, 31) (183, 49) (185, 24) (188, 31) (188, 49) (189, 31) (189, 49) (191, 24) (193, 24) (194, 32) (195, 33) (198, 31) (198, 49) (199, 31) (199, 49) (201, 24) (204, 31) (204, 49) (205, 31) (205, 49) (207, 24) (210, 32) (210, 50) (211, 32) (211, 50) (213, 24) (215, 24) (216, 32) (217, 33) (220, 32) (220, 50) (221, 32) (221, 50) (223, 24) (226, 32) (226, 50) (227, 32) (227, 50) (229, 24) |
|   3 | tk_CADEIA                      | "a_state_1_title"                       | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   4 | tk_CADEIA                      | "a_state_1_item_1"                      | (  3,  8) (  4,  8) (  5,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   5 | tk_CADEIA                      | "a_state_1_item_2"                      | (  6,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   6 | tk_CADEIA                      | "a_state_1_item_3"                      | (  7,  8) (  8,  8) (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   7 | tk_CADEIA                      | "a_state_1_item_4"                      | ( 10,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   8 | tk_CADEIA                      | "a_state_1_item_5"                      | ( 11,  8) ( 12,  8) ( 13,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   9 | tk_CADEIA                      | "a_state_1_item_6"                      | ( 14,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
