TABELA DE SIMBOLOS - "gram06.grm-NFA.lda"

+-----+--------------------------------+-------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
+-----+--------------------------------+-------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_IDEN                        | itens_10001             | (  1,  8) (  4,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   2 | tk_CADEIA                      | "a_state_10001_item_.*" | (  1, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   3 | tk_CADEIA                      | "state_10001"           | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   4 | tk_DECIMAL                     | 0.500000                | (  2, 27) (  3, 35) (  4, 31) (  6, 36) (  6, 54) (  7, 36) (  7, 54) (  9, 23) ( 12, 27) ( 13, 35) ( 14, 31) ( 16, 23) ( 19, 27) ( 20, 35) ( 21, 31) ( 23, 23) ( 26, 27) ( 27, 35) ( 28, 31) ( 30, 23) ( 33, 27) ( 34, 35) ( 35, 31) ( 37, 36) ( 37, 54) ( 38, 36) ( 38, 54) ( 40, 24) ( 43, 27) ( 44, 35) ( 45, 31) ( 47, 36) ( 47, 54) ( 48, 36) ( 48, 54) ( 50, 23) ( 53, 27) ( 54, 35) ( 55, 31) ( 57, 36) ( 57, 54) ( 58, 36) ( 58, 54) ( 60, 23) ( 63, 27) ( 64, 35) ( 65, 31) ( 67, 23) ( 69, 23) ( 71, 23) ( 73, 36) ( 73, 54) ( 74, 36) ( 74, 54) ( 76, 24) ( 79, 27) ( 80, 35) ( 81, 31) ( 83, 24) ( 85, 24) ( 87, 24) ( 89, 36) ( 89, 54) ( 90, 36) ( 90, 54) ( 92, 24) ( 95, 27) ( 96, 35) ( 97, 31) ( 99, 24) (102, 27) (103, 35) (104, 31) (106, 24) (109, 27) (110, 35) (111, 31) (113, 36) (113, 54) (114, 36) (114, 54) (116, 24) (119, 27) (120, 35) (121, 31) (123, 36) (123, 54) (124, 36) (124, 54) (126, 24) (129, 27) (130, 35) (131, 31) (133, 36) (133, 54) (134, 36) (134, 54) (136, 24) (139, 27) (140, 35) (141, 31) |
|   5 | tk_CADEIA                      | "a_state_10001_title"   | (  3,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   6 | tk_CADEIA                      | "a_state_10001_item_1"  | (  6,  8) (  7,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   7 | tk_CADEIA                      | "trans_1"               | (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   8 | tk_IDEN                        | itens_10005             | ( 11,  8) ( 14,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|   9 | tk_CADEIA                      | "a_state_10005_item_.*" | ( 11, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
