TABELA DE SIMBOLOS - "gram07.grm-DFA.lda"

+-----+--------------------------------+---------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                                            | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
+-----+--------------------------------+---------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_CADEIA                      | "state_1"                                         | (  1,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   2 | tk_DECIMAL                     | 0.500000                                          | (  1, 23) (  2, 31) (  3, 32) (  4, 32) (  4, 50) (  5, 32) (  5, 50) (  6, 32) (  7, 32) (  7, 50) (  8, 32) (  8, 50) (  9, 32) ( 10, 32) ( 11, 32) ( 11, 50) ( 12, 32) ( 12, 50) ( 13, 32) ( 14, 32) ( 17, 30) ( 17, 48) ( 18, 30) ( 18, 48) ( 20, 23) ( 22, 23) ( 23, 31) ( 24, 32) ( 27, 30) ( 27, 48) ( 28, 30) ( 28, 48) ( 30, 23) ( 32, 23) ( 33, 31) ( 34, 32) ( 35, 32) ( 35, 50) ( 36, 32) ( 36, 50) ( 37, 32) ( 38, 32) ( 41, 30) ( 41, 48) ( 42, 30) ( 42, 48) ( 44, 23) ( 46, 23) ( 47, 31) ( 48, 32) ( 49, 32) ( 52, 30) ( 52, 48) ( 53, 30) ( 53, 48) ( 55, 23) ( 57, 23) ( 58, 31) ( 59, 32) ( 62, 30) ( 62, 48) ( 63, 30) ( 63, 48) ( 65, 23) ( 67, 23) ( 68, 31) ( 69, 32) ( 72, 30) ( 72, 48) ( 73, 30) ( 73, 48) ( 75, 23) ( 77, 23) ( 78, 31) ( 79, 32) ( 80, 32) ( 80, 50) ( 81, 32) ( 81, 50) ( 82, 32) ( 83, 32) ( 84, 32) ( 85, 32) ( 85, 50) ( 86, 32) ( 86, 50) ( 87, 32) ( 88, 32) ( 89, 32) ( 89, 50) ( 90, 32) ( 90, 50) ( 91, 32) ( 92, 32) ( 95, 30) ( 95, 48) ( 96, 30) ( 96, 48) ( 98, 23) (100, 23) (101, 31) (102, 32) (105, 30) (105, 48) (106, 30) (106, 48) (108, 23) (110, 23) (111, 31) (112, 32) (115, 30) (115, 48) (116, 30) (116, 48) (118, 23) (120, 24) (121, 32) (122, 33) (125, 31) (125, 49) (126, 31) (126, 49) (128, 24) (130, 24) (131, 32) (132, 33) (135, 31) (135, 49) (136, 31) (136, 49) (138, 24) (140, 24) (141, 32) (142, 33) (143, 33) (144, 33) (147, 31) (147, 49) (148, 31) (148, 49) (150, 24) (153, 32) (153, 50) (154, 32) (154, 50) (156, 24) (158, 24) (159, 32) (160, 33) (163, 32) (163, 50) (164, 32) (164, 50) (166, 24) |
|   3 | tk_CADEIA                      | "a_state_1_title"                                 | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   4 | tk_CADEIA                      | "a_state_1_item_1"                                | (  3,  8) (  4,  8) (  5,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   5 | tk_CADEIA                      | "a_state_1_item_2"                                | (  6,  8) (  7,  8) (  8,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   6 | tk_CADEIA                      | "a_state_1_item_3"                                | (  9,  8) ( 11,  8) ( 12,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   7 | tk_CADEIA                      | "a_state_1_item_4"                                | ( 10,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   8 | tk_CADEIA                      | "a_state_1_item_5"                                | ( 13,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   9 | tk_CADEIA                      | "a_state_1_item_6"                                | ( 14,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
