TABELA DE SIMBOLOS - "gram12.grm-NFA.lda"

+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_IDEN                        | itens_10001             | (  1,  8) (  4,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|   2 | tk_CADEIA                      | "a_state_10001_item_.*" | (  1, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   3 | tk_CADEIA                      | "state_10001"           | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   4 | tk_DECIMAL                     | 0.500000                | (  2, 27) (  3, 35) (  4, 31) (  6, 36) (  6, 54) (  7, 36) (  7, 54) (  9, 23) ( 12, 27) ( 13, 35) ( 14, 31) ( 16, 23) ( 19, 27) ( 20, 35) ( 21, 31) ( 23, 23) ( 26, 27) ( 27, 35) ( 28, 31) ( 30, 23) ( 33, 27) ( 34, 35) ( 35, 31) ( 37, 36) ( 37, 54) ( 38, 36) ( 38, 54) ( 40, 23) ( 43, 27) ( 44, 35) ( 45, 31) ( 47, 36) ( 47, 54) ( 48, 36) ( 48, 54) ( 50, 23) ( 53, 27) ( 54, 35) ( 55, 31) ( 57, 36) ( 57, 54) ( 58, 36) ( 58, 54) ( 60, 23) ( 63, 27) ( 64, 35) ( 65, 31) ( 67, 36) ( 67, 54) ( 68, 36) ( 68, 54) ( 70, 23) ( 73, 27) ( 74, 35) ( 75, 31) ( 77, 23) ( 80, 27) ( 81, 35) ( 82, 31) ( 84, 24) ( 87, 27) ( 88, 35) ( 89, 31) ( 91, 24) ( 94, 27) ( 95, 35) ( 96, 31) ( 98, 36) ( 98, 54) ( 99, 36) ( 99, 54) (101, 24) (104, 27) (105, 35) (106, 31) (108, 24) (110, 24) (112, 24) (114, 36) (114, 54) (115, 36) (115, 54) (117, 24) (120, 27) (121, 35) (122, 31) (124, 36) (124, 54) (125, 36) (125, 54) (127, 24) (130, 27) (131, 35) (132, 31) (134, 24) (136, 24) (138, 24) (140, 36) (140, 54) (141, 36) (141, 54) (143, 24) (146, 27) (147, 35) (148, 31) (150, 36) (150, 54) (151, 36) (151, 54) (153, 24) (156, 27) (157, 35) (158, 31) (160, 36) (160, 54) (161, 36) (161, 54) (163, 24) (166, 27) (167, 35) (168, 31) (170, 24) (172, 24) (174, 24) (176, 36) (176, 54) (177, 36) (177, 54) (179, 24) (182, 27) (183, 35) (184, 31) (186, 24) (188, 24) (190, 24) |
|   5 | tk_CADEIA                      | "a_state_10001_title"   | (  3,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   6 | tk_CADEIA                      | "a_state_10001_item_1"  | (  6,  8) (  7,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|   7 | tk_CADEIA                      | "trans_1"               | (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   8 | tk_IDEN                        | itens_10005             | ( 11,  8) ( 14,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
|   9 | tk_CADEIA                      | "a_state_10005_item_.*" | ( 11, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
