TABELA DE SIMBOLOS - "gram01.grm-DFA.lda"

+-----+--------------------------------+----------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA               | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
+-----+--------------------------------+----------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_CADEIA                      | "state_1"            | (  1,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   2 | tk_DECIMAL                     | 0.500000             | (  1, 23) (  2, 31) (  3, 32) (  4, 32) (  4, 50) (  5, 32) (  5, 50) (  6, 32) (  7, 32) ( 10, 30) ( 10, 48) ( 11, 30) ( 11, 48) ( 13, 23) ( 15, 23) ( 16, 31) ( 17, 32) ( 20, 30) ( 20, 48) ( 21, 30) ( 21, 48) ( 23, 23) ( 25, 23) ( 26, 31) ( 27, 32) ( 28, 32) ( 28, 50) ( 29, 32) ( 29, 50) ( 30, 32) ( 31, 32) ( 34, 30) ( 34, 48) ( 35, 30) ( 35, 48) ( 37, 23) ( 39, 23) ( 40, 31) ( 41, 32) ( 44, 30) ( 44, 48) ( 45, 30) ( 45, 48) ( 47, 23) ( 49, 23) ( 50, 31) ( 51, 32) ( 54, 30) ( 54, 48) ( 55, 30) ( 55, 48) ( 57, 23) ( 60, 30) ( 60, 48) ( 61, 30) ( 61, 48) ( 63, 23) ( 65, 23) ( 66, 31) ( 67, 32) ( 68, 32) ( 68, 50) ( 69, 32) ( 69, 50) ( 70, 32) ( 71, 32) ( 74, 30) ( 74, 48) ( 75, 30) ( 75, 48) ( 77, 23) ( 79, 23) ( 80, 31) ( 81, 32) ( 84, 30) ( 84, 48) ( 85, 30) ( 85, 48) ( 87, 23) |
|   3 | tk_CADEIA                      | "a_state_1_title"    | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   4 | tk_CADEIA                      | "a_state_1_item_1"   | (  3,  8) (  4,  8) (  5,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   5 | tk_CADEIA                      | "a_state_1_item_2"   | (  6,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   6 | tk_CADEIA                      | "a_state_1_item_3"   | (  7,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   7 | tk_IDEN                        | itens_1_1            | (  9,  8) ( 10,  8) ( 11,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   8 | tk_CADEIA                      | "(a_state_1_item_1)" | (  9, 18)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   9 | tk_CADEIA                      | "trans_1"            | ( 13,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  10 | tk_CADEIA                      | "state_2"            | ( 15,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  11 | tk_CADEIA                      | "a_state_2_title"    | ( 16,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  12 | tk_CADEIA                      | "a_state_2_item_1"   | ( 17,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  13 | tk_IDEN                        | itens_1_2            | ( 19,  8) ( 20,  8) ( 21,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|  14 | tk_CADEIA                      | "(a_state_1_item_2)" | ( 19, 18)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  15 | tk_CADEIA                      | "trans_2"            | ( 23,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|  16 | tk_CADEIA                      | "state_3"            | ( 25,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
