TABELA DE SIMBOLOS - "gram02.grm-DFA.lda"

+-----+--------------------------------+-----------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
+-----+--------------------------------+-----------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_CADEIA                      | "state_1"                               | (  1,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   2 | tk_DECIMAL                     | 0.500000                                | (  1, 23) (  2, 31) (  3, 32) (  4, 32) (  4, 50) (  5, 32) (  5, 50) (  6, 32) (  7, 32) (  8, 32) (  8, 50) (  9, 32) (  9, 50) ( 10, 32) ( 11, 32) ( 14, 30) ( 14, 48) ( 15, 30) ( 15, 48) ( 17, 23) ( 19, 23) ( 20, 31) ( 21, 32) ( 22, 32) ( 25, 30) ( 25, 48) ( 26, 30) ( 26, 48) ( 28, 23) ( 30, 23) ( 31, 31) ( 32, 32) ( 35, 30) ( 35, 48) ( 36, 30) ( 36, 48) ( 38, 23) ( 40, 23) ( 41, 31) ( 42, 32) ( 43, 32) ( 43, 50) ( 44, 32) ( 44, 50) ( 45, 32) ( 46, 32) ( 47, 32) ( 47, 50) ( 48, 32) ( 48, 50) ( 49, 32) ( 50, 32) ( 53, 30) ( 53, 48) ( 54, 30) ( 54, 48) ( 56, 23) ( 58, 23) ( 59, 31) ( 60, 32) ( 63, 30) ( 63, 48) ( 64, 30) ( 64, 48) ( 66, 23) ( 68, 23) ( 69, 31) ( 70, 32) ( 73, 30) ( 73, 48) ( 74, 30) ( 74, 48) ( 76, 23) ( 78, 23) ( 79, 31) ( 80, 32) ( 81, 32) ( 81, 50) ( 82, 32) ( 82, 50) ( 83, 32) ( 84, 32) ( 87, 30) ( 87, 48) ( 88, 30) ( 88, 48) ( 90, 23) ( 92, 23) ( 93, 31) ( 94, 32) ( 95, 32) ( 98, 30) ( 98, 48) ( 99, 30) ( 99, 48) (101, 23) (104, 30) (104, 48) (105, 30) (105, 48) (107, 23) (110, 31) (110, 49) (111, 31) (111, 49) (113, 24) (116, 31) (116, 49) (117, 31) (117, 49) (119, 24) (121, 23) (122, 31) (123, 32) (126, 31) (126, 49) (127, 31) (127, 49) (129, 24) (132, 31) (132, 49) (133, 31) (133, 49) (135, 24) (138, 31) (138, 49) (139, 31) (139, 49) (141, 24) (143, 24) (144, 32) (145, 33) (148, 31) (148, 49) (149, 31) (149, 49) (151, 24) |
|   3 | tk_CADEIA                      | "a_state_1_title"                       | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   4 | tk_CADEIA                      | "a_state_1_item_1"                      | (  3,  8) (  4,  8) (  5,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   5 | tk_CADEIA                      | "a_state_1_item_2"                      | (  6,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   6 | tk_CADEIA                      | "a_state_1_item_3"                      | (  7,  8) (  8,  8) (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   7 | tk_CADEIA                      | "a_state_1_item_4"                      | ( 10,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   8 | tk_CADEIA                      | "a_state_1_item_5"                      | ( 11,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   9 | tk_IDEN                        | itens_1_1                               | ( 13,  8) ( 14,  8) ( 15,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
