TABELA DE SIMBOLOS - "gram04a.grm-DFA.lda"

+-----+--------------------------------+-----------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
+-----+--------------------------------+-----------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_CADEIA                      | "state_1"                               | (  1,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   2 | tk_DECIMAL                     | 0.500000                                | (  1, 23) (  2, 31) (  3, 32) (  4, 32) (  4, 50) (  5, 32) (  5, 50) (  6, 32) (  7, 32) (  8, 32) (  8, 50) (  9, 32) (  9, 50) ( 10, 32) ( 11, 32) ( 12, 32) ( 12, 50) ( 13, 32) ( 13, 50) ( 14, 32) ( 15, 32) ( 18, 30) ( 18, 48) ( 19, 30) ( 19, 48) ( 21, 23) ( 23, 23) ( 24, 31) ( 25, 32) ( 26, 32) ( 27, 32) ( 27, 50) ( 28, 32) ( 28, 50) ( 29, 32) ( 30, 32) ( 33, 30) ( 33, 48) ( 34, 30) ( 34, 48) ( 36, 23) ( 38, 23) ( 39, 31) ( 40, 32) ( 41, 32) ( 42, 32) ( 42, 50) ( 43, 32) ( 43, 50) ( 44, 32) ( 47, 30) ( 47, 48) ( 48, 30) ( 48, 48) ( 50, 23) ( 52, 23) ( 53, 31) ( 54, 32) ( 57, 30) ( 57, 48) ( 58, 30) ( 58, 48) ( 60, 23) ( 62, 23) ( 63, 31) ( 64, 32) ( 65, 32) ( 65, 50) ( 66, 32) ( 66, 50) ( 67, 32) ( 68, 32) ( 69, 32) ( 69, 50) ( 70, 32) ( 70, 50) ( 71, 32) ( 72, 32) ( 73, 32) ( 73, 50) ( 74, 32) ( 74, 50) ( 75, 32) ( 76, 32) ( 79, 30) ( 79, 48) ( 80, 30) ( 80, 48) ( 82, 23) ( 84, 23) ( 85, 31) ( 86, 32) ( 89, 30) ( 89, 48) ( 90, 30) ( 90, 48) ( 92, 23) ( 94, 23) ( 95, 31) ( 96, 32) ( 99, 30) ( 99, 48) (100, 30) (100, 48) (102, 23) (104, 23) (105, 31) (106, 32) (107, 32) (107, 50) (108, 32) (108, 50) (109, 32) (110, 32) (111, 32) (111, 50) (112, 32) (112, 50) (113, 32) (114, 32) (117, 30) (117, 48) (118, 30) (118, 48) (120, 23) (122, 23) (123, 31) (124, 32) (127, 30) (127, 48) (128, 30) (128, 48) (130, 23) (132, 24) (133, 32) (134, 33) (137, 31) (137, 49) (138, 31) (138, 49) (140, 24) (142, 24) (143, 32) (144, 33) (145, 33) (145, 51) (146, 33) (146, 51) (147, 33) (148, 33) (151, 31) (151, 49) (152, 31) (152, 49) (154, 24) (156, 24) (157, 32) (158, 33) (161, 31) (161, 49) (162, 31) (162, 49) (164, 24) (166, 24) (167, 32) (168, 33) (169, 33) (170, 33) (170, 51) (171, 33) (171, 51) (172, 33) (173, 33) (176, 31) (176, 49) (177, 31) (177, 49) (179, 24) (182, 31) (182, 49) (183, 31) (183, 49) (185, 24) (188, 31) (188, 49) (189, 31) (189, 49) (191, 24) (194, 31) (194, 49) (195, 31) (195, 49) (197, 24) (200, 31) (200, 49) (201, 31) (201, 49) (203, 24) (205, 24) (206, 32) (207, 33) (208, 33) (209, 33) (209, 51) (210, 33) (210, 51) (211, 33) (214, 31) (214, 49) (215, 31) (215, 49) (217, 24) (220, 31) (220, 49) (221, 31) (221, 49) (223, 24) (226, 31) (226, 49) (227, 31) (227, 49) (229, 24) (232, 32) (232, 50) (233, 32) (233, 50) (235, 24) (237, 24) (238, 32) (239, 33) (242, 32) (242, 50) (243, 32) (243, 50) (245, 24) (248, 32) (248, 50) (249, 32) (249, 50) (251, 24) (254, 32) (254, 50) (255, 32) (255, 50) (257, 24) (259, 24) (260, 32) (261, 33) (264, 32) (264, 50) (265, 32) (265, 50) (267, 24) (270, 32) (270, 50) (271, 32) (271, 50) (273, 24) (276, 32) (276, 50) (277, 32) (277, 50) (279, 24) (282, 32) (282, 50) (283, 32) (283, 50) (285, 24) (288, 32) (288, 50) (289, 32) (289, 50) (291, 24) |
|   3 | tk_CADEIA                      | "a_state_1_title"                       | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   4 | tk_CADEIA                      | "a_state_1_item_1"                      | (  3,  8) (  4,  8) (  5,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   5 | tk_CADEIA                      | "a_state_1_item_2"                      | (  6,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   6 | tk_CADEIA                      | "a_state_1_item_3"                      | (  7,  8) (  8,  8) (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   7 | tk_CADEIA                      | "a_state_1_item_4"                      | ( 10,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   8 | tk_CADEIA                      | "a_state_1_item_5"                      | ( 11,  8) ( 12,  8) ( 13,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   9 | tk_CADEIA                      | "a_state_1_item_6"                      | ( 14,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
