TABELA DE SIMBOLOS - "gram04a.grm-NFA.lda"

+-----+--------------------------------+-------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
+-----+--------------------------------+-------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_IDEN                        | itens_10001             | (  1,  8) (  4,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   2 | tk_CADEIA                      | "a_state_10001_item_.*" | (  1, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   3 | tk_CADEIA                      | "state_10001"           | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   4 | tk_DECIMAL                     | 0.500000                | (  2, 27) (  3, 35) (  4, 31) (  6, 36) (  6, 54) (  7, 36) (  7, 54) (  9, 23) ( 12, 27) ( 13, 35) ( 14, 31) ( 16, 23) ( 19, 27) ( 20, 35) ( 21, 31) ( 23, 23) ( 26, 27) ( 27, 35) ( 28, 31) ( 30, 36) ( 30, 54) ( 31, 36) ( 31, 54) ( 33, 24) ( 36, 27) ( 37, 35) ( 38, 31) ( 40, 36) ( 40, 54) ( 41, 36) ( 41, 54) ( 43, 23) ( 46, 27) ( 47, 35) ( 48, 31) ( 50, 23) ( 52, 23) ( 54, 36) ( 54, 54) ( 55, 36) ( 55, 54) ( 57, 23) ( 60, 27) ( 61, 35) ( 62, 31) ( 64, 23) ( 67, 27) ( 68, 35) ( 69, 31) ( 71, 23) ( 74, 27) ( 75, 35) ( 76, 31) ( 78, 36) ( 78, 54) ( 79, 36) ( 79, 54) ( 81, 24) ( 84, 27) ( 85, 35) ( 86, 31) ( 88, 24) ( 91, 27) ( 92, 35) ( 93, 31) ( 95, 24) ( 98, 27) ( 99, 35) (100, 31) (102, 36) (102, 54) (103, 36) (103, 54) (105, 24) (108, 27) (109, 35) (110, 31) (112, 24) (114, 24) (116, 36) (116, 54) (117, 36) (117, 54) (119, 24) (122, 27) (123, 35) (124, 31) (126, 24) (129, 27) (130, 35) (131, 31) (133, 24) (136, 27) (137, 35) (138, 31) (140, 36) (140, 54) (141, 36) (141, 54) (143, 24) (146, 27) (147, 35) (148, 31) (150, 24) (152, 24) (154, 36) (154, 54) (155, 36) (155, 54) (157, 24) (160, 27) (161, 35) (162, 31) (164, 36) (164, 54) (165, 36) (165, 54) (167, 24) (170, 27) (171, 35) (172, 31) (174, 36) (174, 54) (175, 36) (175, 54) (177, 24) (180, 27) (181, 35) (182, 31) (184, 24) (187, 27) (188, 35) (189, 31) (191, 36) (191, 54) (192, 36) (192, 54) (194, 24) (197, 27) (198, 35) (199, 31) (201, 36) (201, 54) (202, 36) (202, 54) (204, 24) (207, 27) (208, 35) (209, 31) (211, 36) (211, 54) (212, 36) (212, 54) (214, 24) (217, 27) (218, 35) (219, 31) (221, 24) (223, 24) (225, 36) (225, 54) (226, 36) (226, 54) (228, 24) (231, 27) (232, 35) (233, 31) (235, 36) (235, 54) (236, 36) (236, 54) (238, 24) (241, 27) (242, 35) (243, 31) (245, 24) (247, 24) (249, 36) (249, 54) (250, 36) (250, 54) (252, 24) (255, 27) (256, 35) (257, 31) |
|   5 | tk_CADEIA                      | "a_state_10001_title"   | (  3,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   6 | tk_CADEIA                      | "a_state_10001_item_1"  | (  6,  8) (  7,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   7 | tk_CADEIA                      | "trans_1"               | (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
|   8 | tk_IDEN                        | itens_10008             | ( 11,  8) ( 14,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|   9 | tk_CADEIA                      | "a_state_10008_item_.*" | ( 11, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
