TABELA DE SIMBOLOS - "gram05.grm-NFA.lda"

+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
+-----+--------------------------------+-------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_IDEN                        | itens_10001             | (  1,  8) (  4,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   2 | tk_CADEIA                      | "a_state_10001_item_.*" | (  1, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   3 | tk_CADEIA                      | "state_10001"           | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   4 | tk_DECIMAL                     | 0.500000                | (  2, 27) (  3, 35) (  4, 31) (  6, 36) (  6, 54) (  7, 36) (  7, 54) (  9, 23) ( 12, 27) ( 13, 35) ( 14, 31) ( 16, 23) ( 19, 27) ( 20, 35) ( 21, 31) ( 23, 36) ( 23, 54) ( 24, 36) ( 24, 54) ( 26, 24) ( 29, 27) ( 30, 35) ( 31, 31) ( 33, 36) ( 33, 54) ( 34, 36) ( 34, 54) ( 36, 23) ( 39, 27) ( 40, 35) ( 41, 31) ( 43, 23) ( 46, 27) ( 47, 35) ( 48, 31) ( 50, 36) ( 50, 54) ( 51, 36) ( 51, 54) ( 53, 24) ( 56, 27) ( 57, 35) ( 58, 31) ( 60, 24) ( 63, 27) ( 64, 35) ( 65, 31) ( 67, 24) ( 70, 27) ( 71, 35) ( 72, 31) ( 74, 36) ( 74, 54) ( 75, 36) ( 75, 54) ( 77, 23) ( 80, 27) ( 81, 35) ( 82, 31) ( 84, 23) ( 87, 27) ( 88, 35) ( 89, 31) ( 91, 23) ( 94, 27) ( 95, 35) ( 96, 31) ( 98, 36) ( 98, 54) ( 99, 36) ( 99, 54) (101, 24) (104, 27) (105, 35) (106, 31) (108, 36) (108, 54) (109, 36) (109, 54) (111, 24) (114, 27) (115, 35) (116, 31) (118, 24) (121, 27) (122, 35) (123, 31) (125, 24) (128, 27) (129, 35) (130, 31) (132, 36) (132, 54) (133, 36) (133, 54) (135, 23) (138, 27) (139, 35) (140, 31) (142, 36) (142, 54) (143, 36) (143, 54) (145, 23) (148, 27) (149, 35) (150, 31) (152, 36) (152, 54) (153, 36) (153, 54) (155, 24) (158, 27) (159, 35) (160, 31) (162, 24) (164, 36) (164, 54) (165, 36) (165, 54) (167, 24) (170, 27) (171, 35) (172, 31) (174, 36) (174, 54) (175, 36) (175, 54) (177, 24) (180, 27) (181, 35) (182, 31) (184, 24) (186, 36) (186, 54) (187, 36) (187, 54) (189, 24) (192, 27) (193, 35) (194, 31) (196, 24) (198, 24) (200, 36) (200, 54) (201, 36) (201, 54) (203, 24) (206, 27) (207, 35) (208, 31) (210, 24) (212, 24) (214, 36) (214, 54) (215, 36) (215, 54) (217, 24) (220, 27) (221, 35) (222, 31) (224, 36) (224, 54) (225, 36) (225, 54) (227, 24) (230, 27) (231, 35) (232, 31) (234, 24) (236, 24) |
|   5 | tk_CADEIA                      | "a_state_10001_title"   | (  3,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   6 | tk_CADEIA                      | "a_state_10001_item_1"  | (  6,  8) (  7,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   7 | tk_CADEIA                      | "trans_1"               | (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
|   8 | tk_IDEN                        | itens_10006             | ( 11,  8) ( 14,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
|   9 | tk_CADEIA                      | "a_state_10006_item_.*" | ( 11, 20)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
