TABELA DE SIMBOLOS - "gram08.grm-DFA.lda"

+-----+--------------------------------+-----------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| POS | TOKEN                          | LEXEMA                                  | POS NA ENTRADA (linha,coluna)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
+-----+--------------------------------+-----------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|   1 | tk_CADEIA                      | "state_1"                               | (  1,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   2 | tk_DECIMAL                     | 0.500000                                | (  1, 23) (  2, 31) (  3, 32) (  4, 32) (  4, 50) (  5, 32) (  5, 50) (  6, 32) (  7, 32) (  8, 32) (  8, 50) (  9, 32) (  9, 50) ( 10, 32) ( 11, 32) ( 14, 30) ( 14, 48) ( 15, 30) ( 15, 48) ( 17, 23) ( 19, 23) ( 20, 31) ( 21, 32) ( 24, 30) ( 24, 48) ( 25, 30) ( 25, 48) ( 27, 23) ( 29, 23) ( 30, 31) ( 31, 32) ( 34, 30) ( 34, 48) ( 35, 30) ( 35, 48) ( 37, 23) ( 39, 23) ( 40, 31) ( 41, 32) ( 44, 30) ( 44, 48) ( 45, 30) ( 45, 48) ( 47, 23) ( 49, 23) ( 50, 31) ( 51, 32) ( 52, 32) ( 52, 50) ( 53, 32) ( 53, 50) ( 54, 32) ( 55, 32) ( 56, 32) ( 57, 32) ( 57, 50) ( 58, 32) ( 58, 50) ( 59, 32) ( 60, 32) ( 63, 30) ( 63, 48) ( 64, 30) ( 64, 48) ( 66, 23) ( 68, 23) ( 69, 31) ( 70, 32) ( 73, 30) ( 73, 48) ( 74, 30) ( 74, 48) ( 76, 23) ( 78, 23) ( 79, 31) ( 80, 32) ( 81, 32) ( 84, 30) ( 84, 48) ( 85, 30) ( 85, 48) ( 87, 23) ( 90, 30) ( 90, 48) ( 91, 30) ( 91, 48) ( 93, 23) ( 96, 30) ( 96, 48) ( 97, 30) ( 97, 48) ( 99, 23) (102, 31) (102, 49) (103, 31) (103, 49) (105, 24) (107, 23) (108, 31) (109, 32) (110, 32) (110, 50) (111, 32) (111, 50) (112, 32) (113, 32) (114, 32) (114, 50) (115, 32) (115, 50) (116, 32) (117, 32) (120, 31) (120, 49) (121, 31) (121, 49) (123, 24) (125, 23) (126, 31) (127, 32) (130, 31) (130, 49) (131, 31) (131, 49) (133, 24) (136, 31) (136, 49) (137, 31) (137, 49) (139, 24) (142, 31) (142, 49) (143, 31) (143, 49) (145, 24) |
|   3 | tk_CADEIA                      | "a_state_1_title"                       | (  2,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   4 | tk_CADEIA                      | "a_state_1_item_1"                      | (  3,  8) (  4,  8) (  5,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   5 | tk_CADEIA                      | "a_state_1_item_2"                      | (  6,  8) (  8,  8) (  9,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|   6 | tk_CADEIA                      | "a_state_1_item_3"                      | (  7,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   7 | tk_CADEIA                      | "a_state_1_item_4"                      | ( 10,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   8 | tk_CADEIA                      | "a_state_1_item_5"                      | ( 11,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             |
|   9 | tk_IDEN                        | itens_1_2                               | ( 13,  8) ( 14,  8) ( 15,  8)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
